Date,Close,High,Low,Open,Volume,SMA_20,EMA_50,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,ATR_14,PN_GROWTH_5,PN_VOL_20,PN_MOVAVE_10
2012-05-18,37.99576187133789,44.724282100009326,37.76717155111898,41.79235618185496,573576400,,,,,,,,,,
2012-05-21,33.821495056152344,36.43538195928824,32.797807137508464,36.3061774150545,168192700,,,,,,,,,,
2012-05-22,30.81006622314453,33.384197714086056,30.75043436769169,32.4102025271521,101786600,,,,,,,,,,
2012-05-23,31.803937911987305,32.300874441862106,31.167859760359534,31.17779871843652,73600000,,,,,,,,,,
2012-05-24,32.8276252746582,33.00652272503711,31.57534691333061,32.748117403003555,50237200,,,,,,,,,,
2012-05-25,31.714488983154297,32.74811786863476,30.91939129867887,32.698424974228445,37149800,,,,,,,,0.8346849075048585,,
2012-05-29,28.663299560546875,31.49583819610612,28.474463145999607,31.28712386515125,78063400,,,,,,,,0.8474876557928163,,
2012-05-30,28.01728057861328,29.36894657814204,27.689302562358076,28.524156039309936,57267900,,,,,,,,0.9093547665784207,,
2012-05-31,29.418642044067383,29.48821285280686,26.66561329816687,28.375074225988158,111639200,,,,,,,,0.9249999835076752,,
2012-06-01,27.550161361694336,28.97140018315004,27.222183317947824,28.7129929523706,41855500,,,,,,,,0.8392371099399052,,31.262275886535644
2012-06-04,26.735183715820312,27.480588476832004,26.278003038984394,27.03334675762239,35230300,,,,,,,,0.8429958852567724,,30.136218070983887
2012-06-05,25.711498260498047,27.589917836951688,25.59223265287856,26.53641286824006,42473400,,,,,,,,0.8970180912419523,,29.325218391418456
2012-06-06,26.645734786987305,27.00352967612063,25.363639593696767,25.91026898928395,61489200,,,,,,,,0.9510464340827949,,28.908785247802733
2012-06-07,26.1487979888916,27.182426814448583,25.989778461215497,26.83457088678374,26159500,,,,,,,,0.8888512919706576,,28.343271255493164
2012-06-08,26.933961868286133,27.589917974302555,26.27800576226971,26.38733051616409,38034000,,,24.080113062010607,,,,2.184390249303047,0.9776335432189168,,27.75390491485596
2012-06-11,26.844512939453125,27.898017905694356,26.675554434858185,27.013471444048065,28219600,,,23.971895064897126,,,,2.1156811936982702,1.0040893387827412,,27.26690731048584
2012-06-12,27.23212242126465,27.599856300470996,26.794817728720947,27.311632193030547,15816800,,,25.533622111003517,,,,2.022063863559112,1.059141795058393,,27.123789596557618
2012-06-13,27.102922439575195,27.92783711428889,26.93396392086696,27.49053237839769,17102800,,,25.34672372955339,,,,1.9486216728350276,1.0171580050707087,,27.032353782653807
2012-06-14,28.116670608520508,28.146485587977967,27.212244353173865,27.480590542265865,16855000,,,29.695136826371826,,,,1.8839746353755806,1.0752567143034601,,26.902156639099122
2012-06-15,29.82612991333008,29.915578637849663,28.176300832110293,28.335320365553475,43563800,29.19601469039917,,36.42045318077487,,,,1.8778984492294073,1.1073799710264454,3.134135741981135,27.129753494262694
2012-06-18,31.217554092407227,31.883451044587748,29.229807881387792,29.776437331153133,42978900,28.857104301452637,,41.33926610608492,,,,1.9333087859415894,1.1629026074273483,2.4169053310382753,27.577990531921387
2012-06-19,31.714488983154297,31.982835162538155,30.51190349842741,31.346757014957813,30849000,28.751753997802734,,43.03430969179489,,,,1.9002818486679576,1.1645985021861358,2.2276337945418834,28.17828960418701
2012-06-20,31.406391143798828,31.73436919937549,30.959147479074957,31.72443024064134,15553600,28.78157024383545,,42.21975006351519,,,,1.8199204109274272,1.1587824602242813,2.2603837950605854,28.654355239868163
