date,daily_return,close_price,news_date,avg_sentiment,article_count,avg_subjectivity,forward_filled
2019-02-25,-0.08735432212263472,55.09298706054688,2019-02-23,-0.09375,1,0.2833333333333333,True
2019-02-25,-0.08735432212263472,55.09298706054688,2019-02-25,-0.03181818181818183,1,0.42727272727272725,False
2019-02-26,0.5164968229428135,55.377540588378906,2019-02-26,0.05,2,0.175,False
2019-02-27,0.0824970086568122,55.42322540283203,2019-02-27,0.0,1,0.0,False
2019-02-28,0.3467579644550467,55.61540985107422,2019-02-28,0.0,1,0.0,False
2019-03-01,1.8813867328941525,56.66175079345703,2019-03-01,-0.15,2,0.75,False
2019-03-04,0.5968477005276362,56.99993515014648,2019-03-04,0.0,1,0.0,False
2019-03-05,1.2397646369264104,57.70660018920898,2019-03-05,0.0,1,0.1,False
2019-03-06,-0.3588512239249386,57.49951934814453,2019-03-06,0.0,1,0.5,False
2019-03-07,-1.2574939524932827,56.776466369628906,2019-03-07,0.0,1,0.0,False
2019-03-08,-0.0857184513703313,56.72779846191406,2019-03-08,0.0,1,0.0,False
2019-03-11,2.927370940145191,58.388431549072266,2019-03-10,0.21428571428571427,1,0.42857142857142855,True
2019-03-11,2.927370940145191,58.388431549072266,2019-03-11,0.0,1,0.05,False
2019-03-12,1.4832965801976572,59.2545051574707,2019-03-12,0.0,1,0.25,False
2019-03-15,-0.09194211288287013,58.82047271728516,2019-03-15,0.09444444444444444,3,0.13333333333333333,False
2019-03-19,1.2319976783815134,59.53508758544922,2019-03-19,-0.17500000000000002,4,0.25833333333333336,False
2019-03-20,2.0953476203846577,60.78255462646485,2019-03-20,0.07595238095238095,4,0.3243452380952381,False
2019-03-21,0.6184658482210725,61.15847396850586,2019-03-21,0.08333333333333333,3,0.3111111111111111,False
2019-03-26,-0.7024386035062391,58.82841873168945,2019-03-26,0.08333333333333333,3,0.13333333333333333,False
2019-03-27,-0.9792097625674567,58.25236511230469,2019-03-27,0.019444444444444448,2,0.6819444444444445,False
2019-03-28,-0.3861757578726088,58.02740859985352,2019-03-28,0.0,2,0.0,False
2019-03-29,0.41248954658559267,58.26676559448242,2019-03-29,0.0,1,0.0,False
2019-04-01,1.8000386662994305,59.31558990478516,2019-04-01,0.0,1,0.0,False
2019-04-02,0.5073500121484997,59.61652755737305,2019-04-02,0.06818181818181818,2,0.22727272727272727,False
2019-04-04,0.7529490301968922,60.337100982666016,2019-04-04,0.0,1,0.0,False
2019-04-05,-0.646101927361864,59.947261810302734,2019-04-05,0.0,1,0.0,False
2019-04-08,-0.2741934919373801,59.78289031982422,2019-04-08,0.0,3,0.16666666666666666,False
2019-04-09,-0.5474125823792364,59.45563125610352,2019-04-09,0.044393939393939395,6,0.1967992424242424,False
2019-04-10,0.41010046428389124,59.69945907592773,2019-04-10,0.07954545454545454,4,0.24431818181818182,False
2019-04-11,0.2046344838338987,59.821624755859375,2019-04-11,0.0,1,0.0,False
2019-04-15,0.26521394416807453,60.64002227783203,2019-04-15,0.0,1,0.0,False
2019-04-16,0.49382194152167713,60.9394760131836,2019-04-16,0.2,2,0.2,False
2019-04-17,0.7505328039868475,61.39684677124024,2019-04-17,0.017045454545454544,2,0.1568181818181818,False
2019-04-18,0.002423140620111397,61.39833450317383,2019-04-18,0.0,1,0.0,False
2019-04-22,1.0085985235975592,62.01759719848633,2019-04-22,-0.275,2,0.425,False
2019-04-23,1.2579639196358183,62.79775619506836,2019-04-23,0.1625,4,0.2583333333333333,False
2019-04-24,-0.6761245786142789,62.373165130615234,2019-04-24,0.0,2,0.0,False
2019-04-26,0.690970519649059,63.176666259765625,2019-04-26,0.0,1,0.0,False
2019-04-29,1.2105147734030153,63.9414291381836,2019-04-29,0.03333333333333333,12,0.051388888888888894,False
2019-04-30,-7.696603157811477,59.020111083984375,2019-04-30,-0.015555555555555555,10,0.053888888888888896,False
2019-05-01,-1.7164812709187571,58.00704193115234,2019-05-01,0.045454545454545456,5,0.1590909090909091,False
2019-05-02,-0.4682827357633923,57.73540496826172,2019-05-02,0.2166666666666667,5,0.24333333333333332,False
2019-05-03,1.9602457616423985,58.86716079711914,2019-05-03,-0.2,1,0.5,False
2019-05-06,0.3365934464785614,59.06530380249024,2019-05-05,0.5,1,0.5,True
2019-05-06,0.3365934464785614,59.06530380249024,2019-05-06,-0.03888888888888889,2,0.08888888888888889,False
2019-05-07,-1.2855395849096118,58.30599594116211,2019-05-07,0.0,3,0.0,False
2019-05-08,-0.6668949143276315,57.91715621948242,2019-05-08,0.1,4,0.1625,False
2019-05-09,-0.3335389410336176,57.72397994995117,2019-05-09,0.16666666666666666,1,0.16666666666666666,False
2019-05-10,0.16259587714639867,57.81783676147461,2019-05-10,-0.05,1,0.3,False
2019-05-14,-1.023818110938568,55.6412353515625,2019-05-14,0.2,1,0.6,False
2019-05-15,3.9064950977703683,57.81485748291016,2019-05-15,0.13084415584415585,7,0.3236471861471862,False
