stock,correlation,p_value,n_observations,date_range,forward_fill_share
GOOG,0.10456772672184006,0.04244181682326159,377,2018-11-13 to 2020-06-10,0.06631299734748011
NVDA,0.08654504145667301,0.002728706866286437,1197,2011-03-03 to 2020-06-10,0.06015037593984962
AAPL,0.06701365500419657,0.5547754693753736,80,2020-03-09 to 2020-06-10,0.2375
AMZN,0.019693765836309985,0.9078966468830787,37,2020-04-27 to 2020-06-10,0.24324324324324326
