stock,date,avg_sentiment,sentiment_std,article_count,avg_subjectivity,news_date,forward_filled
AAPL,2020-05-13,-0.11666666666666665,0.20207259421636903,3,0.3,2020-05-13,False
AAPL,2020-05-14,0.05833333333333333,0.14288690166235204,6,0.125,2020-05-14,False
AAPL,2020-05-15,0.10634920634920635,0.207062260060703,7,0.17142857142857143,2020-05-15,False
AAPL,2020-05-18,0.0,0.0,1,0.0,2020-05-16,True
AAPL,2020-05-18,0.5,0.0,1,0.5,2020-05-17,True
AAPL,2020-05-18,0.25,0.0,2,0.325,2020-05-18,False
AAPL,2020-05-19,0.027314814814814813,0.03929462069244989,4,0.19351851851851853,2020-05-19,False
AAPL,2020-05-20,-0.0471861471861472,0.35452325382817884,7,0.2824675324675325,2020-05-20,False
AAPL,2020-05-21,0.027979797979797983,0.16399433970338587,5,0.18808080808080807,2020-05-21,False
AAPL,2020-05-22,-0.4,0.0,1,0.7,2020-05-22,False
AAPL,2020-05-26,0.15000000000000002,0.0,1,0.55,2020-05-25,True
AAPL,2020-05-26,0.2388888888888889,0.2507396465865946,3,0.3,2020-05-26,False
AAPL,2020-05-27,0.14181818181818182,0.22079454152766412,10,0.17897727272727273,2020-05-27,False
AAPL,2020-05-28,0.11666666666666667,0.21169509870286282,4,0.2,2020-05-28,False
AAPL,2020-05-29,0.43333333333333335,0.0,1,0.7333333333333334,2020-05-29,False
AAPL,2020-06-01,-0.2375,0.19445436482630057,2,0.2791666666666667,2020-05-31,True
AAPL,2020-06-01,0.03661616161616162,0.3488856939253498,6,0.40353535353535347,2020-06-01,False
AAPL,2020-06-02,-0.07083333333333332,0.38354161008509446,6,0.4916666666666667,2020-06-02,False
AAPL,2020-06-09,0.08833333333333333,0.11050389636167185,4,0.31166666666666665,2020-06-09,False
AAPL,2020-06-10,0.1669191919191919,0.23462925577285546,6,0.2517676767676768,2020-06-10,False
AMZN,2020-04-27,0.09999999999999999,0.2428991560298224,6,0.2972222222222222,2020-04-27,False
AMZN,2020-04-28,0.05739583333333333,0.1329713776072855,16,0.357827380952381,2020-04-28,False
AMZN,2020-04-29,0.0024326599326599317,0.05825364182476403,15,0.1285774410774411,2020-04-29,False
AMZN,2020-04-30,0.08269867992090214,0.19901133977696425,27,0.1465724898264581,2020-04-30,False
AMZN,2020-05-01,0.04179600886917959,0.2050076079826797,41,0.16199186991869918,2020-05-01,False
AMZN,2020-05-04,0.0,0.0,2,0.0,2020-05-02,True
AMZN,2020-05-04,0.5,0.0,1,0.5,2020-05-03,True
AMZN,2020-05-04,0.006313131313131312,0.07490683939606126,6,0.16287878787878787,2020-05-04,False
AMZN,2020-05-05,-0.03607954545454546,0.1275069592054047,8,0.22244318181818185,2020-05-05,False
AMZN,2020-05-06,0.04814814814814815,0.10015420209622194,9,0.11851851851851852,2020-05-06,False
AMZN,2020-05-07,0.0125,0.025,4,0.315625,2020-05-07,False
AMZN,2020-05-08,-0.10833333333333334,0.1532064692570853,2,0.2125,2020-05-08,False
AMZN,2020-05-11,0.5,0.0,1,0.5,2020-05-09,True
AMZN,2020-05-11,-0.25,0.0,1,0.4,2020-05-10,True
AMZN,2020-05-11,0.09772727272727272,0.18723466073838513,11,0.2325757575757576,2020-05-11,False
AMZN,2020-05-12,-0.0257936507936508,0.1425418146869204,9,0.11984126984126983,2020-05-12,False
AMZN,2020-05-13,-0.03888888888888889,0.11666666666666667,9,0.1,2020-05-13,False
AMZN,2020-05-14,-0.06,0.1341640786499874,5,0.2,2020-05-14,False
AMZN,2020-05-15,0.062037037037037036,0.19429046332147398,12,0.11805555555555557,2020-05-15,False
AMZN,2020-05-18,0.1,0.14142135623730953,2,0.15,2020-05-16,True
AMZN,2020-05-18,0.5,0.0,1,0.5,2020-05-17,True
