date,daily_return,close_price,news_date,avg_sentiment,article_count,avg_subjectivity,forward_filled
2020-04-27,-1.419786171076065,118.8000030517578,2020-04-27,0.09999999999999999,6,0.2972222222222222,False
2020-04-28,-2.606061104255919,115.7040023803711,2020-04-28,0.05739583333333333,16,0.357827380952381,False
2020-04-29,2.533616474965794,118.635498046875,2020-04-29,0.0024326599326599317,15,0.1285774410774411,False
2020-04-30,4.268957423996422,123.6999969482422,2020-04-30,0.08269867992090214,27,0.1465724898264581,False
2020-05-01,-7.597409237648933,114.302001953125,2020-05-01,0.04179600886917959,41,0.16199186991869918,False
2020-05-04,1.3101236487597978,115.79949951171876,2020-05-02,0.0,2,0.0,True
2020-05-04,1.3101236487597978,115.79949951171876,2020-05-03,0.5,1,0.5,True
2020-05-04,1.3101236487597978,115.79949951171876,2020-05-04,0.006313131313131312,6,0.16287878787878787,False
2020-05-05,0.07815221854263754,115.88999938964844,2020-05-05,-0.03607954545454546,8,0.22244318181818185,False
2020-05-06,1.4436139090531874,117.56300354003906,2020-05-06,0.04814814814814815,9,0.11851851851851852,False
2020-05-07,0.6953694859791248,118.38050079345705,2020-05-07,0.0125,4,0.315625,False
2020-05-08,0.5068389389295769,118.98049926757812,2020-05-08,-0.10833333333333334,2,0.2125,False
2020-05-11,1.2350743942999287,120.4499969482422,2020-05-09,0.5,1,0.5,True
2020-05-11,1.2350743942999287,120.4499969482422,2020-05-10,-0.25,1,0.4,True
2020-05-11,1.2350743942999287,120.4499969482422,2020-05-11,0.09772727272727272,11,0.2325757575757576,False
2020-05-12,-2.160642052362294,117.84750366210938,2020-05-12,-0.0257936507936508,9,0.11984126984126983,False
2020-05-13,0.4654320575239179,118.39600372314452,2020-05-13,-0.03888888888888889,9,0.1,False
2020-05-14,0.8838926123896362,119.44249725341795,2020-05-14,-0.06,5,0.2,False
2020-05-15,0.8761547889003518,120.48899841308594,2020-05-15,0.062037037037037036,12,0.11805555555555557,False
2020-05-18,0.6838841203809398,121.31300354003906,2020-05-16,0.1,2,0.15,True
2020-05-18,0.6838841203809398,121.31300354003906,2020-05-17,0.5,1,0.5,True
2020-05-18,0.6838841203809398,121.31300354003906,2020-05-18,0.018750000000000003,6,0.16666666666666666,False
2020-05-19,0.9508426590011165,122.46649932861328,2020-05-19,0.04068462401795735,6,0.13911335578002246,False
2020-05-20,1.9846275173532213,124.89700317382812,2020-05-20,-0.011038961038961046,9,0.25897065897065896,False
2020-05-21,-2.049693045417056,122.33699798583984,2020-05-21,0.10540724707391375,9,0.3179212762546096,False
2020-05-22,-0.4029821100215214,121.84400177001952,2020-05-22,-0.15611111111111112,5,0.35277777777777775,False
2020-05-26,-0.6163614455975353,121.09300231933594,2020-05-23,0.5,1,0.5,True
2020-05-26,-0.6163614455975353,121.09300231933594,2020-05-26,0.10714285714285714,7,0.25148809523809523,False
2020-05-27,-0.47360423470356183,120.51950073242188,2020-05-27,-0.09083333333333334,10,0.18291666666666667,False
2020-05-28,-0.3854151605534595,120.05500030517578,2020-05-28,0.16805555555555557,4,0.22361111111111112,False
2020-05-29,1.7187950901155657,122.11849975585938,2020-05-29,0.0,4,0.025,False
2020-06-01,1.1738616181262485,123.552001953125,2020-05-30,0.5,1,0.5,True
2020-06-01,1.1738616181262485,123.552001953125,2020-05-31,-0.15277777777777776,3,0.23611111111111108,True
2020-06-01,1.1738616181262485,123.552001953125,2020-06-01,0.02603305785123967,11,0.22011019283746558,False
2020-06-02,0.05543957444538172,123.62049865722656,2020-06-02,0.09375,4,0.24375,False
2020-06-09,3.0427139202305886,130.04299926757812,2020-06-09,-0.020833333333333336,4,0.3520833333333333,False
2020-06-10,1.7913292558120908,132.37249755859375,2020-06-10,0.20479797979797978,6,0.3426767676767677,False
